Easterns Qualifier,College - Men ,22,2,2014
https://play.usaultimate.org/events/Easterns-Qualifier/schedule/Men/CollegeMen/
North Carolina-Wilmington,1
Delaware,Northeastern,13,12,"02/23/2014, 09:00",Pool D
Williams,Virginia Tech,12,15,"02/23/2014, 09:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
North Carolina-Wilmington,Massachusetts,8,15,"02/23/2014, 15:00",1st Finals
North Carolina-Wilmington,North Carolina State,15,6,"02/23/2014, 11:00",1st Quarters
Penn State,Minnesota-Duluth,13,11,"02/23/2014, 11:00",1st Quarters
Virginia,Virginia Tech,15,6,"02/23/2014, 11:00",1st Quarters
Massachusetts,Connecticut,15,7,"02/23/2014, 11:00",1st Quarters
North Carolina-Wilmington,Penn State,15,11,"02/23/2014, 13:00",1st Semis
Virginia,Massachusetts,12,15,"02/23/2014, 13:00",1st Semis
bracket,3rd Place
Penn State,Virginia,13,6,"02/23/2014, 15:00",3rd Place
bracket,5th Place
North Carolina State,Minnesota-Duluth,9,13,"02/23/2014, 13:00",5th Semis
Virginia Tech,Connecticut,15,12,"02/23/2014, 13:00",5th Semis
Minnesota-Duluth,Virginia Tech,14,12,"02/23/2014, 15:00",5th Finals
bracket,7th Place
North Carolina State,Connecticut,13,9,"02/23/2014, 15:00",7th Place
bracket,9th Place
Maryland,Georgetown,13,7,"02/23/2014, 15:00",9th Finals
Washington University,Ohio State,12,10,"02/23/2014, 11:00",9th Quarters
Williams,James Madison,13,8,"02/23/2014, 11:00",9th Quarters
Georgetown,Ohio,12,8,"02/23/2014, 11:00",9th Quarters
Maryland,Auburn,15,8,"02/23/2014, 11:00",9th Quarters
Washington University,Maryland,9,15,"02/23/2014, 13:00",9th Semis
Georgetown,Williams,13,11,"02/23/2014, 13:00",9th Semis
bracket,11th Place
Washington University,Williams,1,0,"02/23/2014, 15:00",11th Place
bracket,13th Place
Ohio State,James Madison,8,10,"02/23/2014, 13:00",13th Semis
Ohio,Auburn,11,12,"02/23/2014, 13:00",13th Semis
James Madison,Auburn,1,0,"02/23/2014, 15:00",13th Finals
bracket,15th Place
Ohio,Ohio State,0,1,"02/23/2014, 15:00",15th Place
bracket,17th Place
Appalachian State,Northeastern,10,11,"02/23/2014, 15:00",17th Finals
William & Mary,Appalachian State,11,13,"02/23/2014, 11:00",17th quarter
Delaware,Indiana,9,7,"02/23/2014, 11:00",17th quarter
Michigan State,Northeastern,8,10,"02/23/2014, 11:00",17th quarter
Rutgers,Pennsylvania,6,12,"02/23/2014, 11:00",17th quarter
Appalachian State,Delaware,1,0,"02/23/2014, 13:00",17th semi
Northeastern,Pennsylvania,13,11,"02/23/2014, 13:00",17th semi
bracket,19th Place
Delaware,Pennsylvania,0,1,"02/23/2014, 15:00",19th Place
bracket,21st Place
William & Mary,Indiana,10,12,"02/23/2014, 13:00",21st Semis
Michigan State,Rutgers,9,14,"02/23/2014, 13:00",21st Semis
Indiana,Rutgers,1,0,"02/23/2014, 15:00",21st Finals
bracket,23rd Place
William & Mary,Michigan State,0,1,"02/23/2014, 15:00",23rd Place
b,r,e,a,k
