College Women's Centex 2016,College - Women ,19,3,2016
Pflugerville,TX,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Womens-Centex-2016/schedule/Women/CollegeWomen/
California,5
Tufts,Northwestern,11,12,"03/19/2016, 09:00",Pool F,Final
Wisconsin,Northwestern,8,9,"03/19/2016, 11:00",Pool F,Final
Wisconsin,Tufts,9,10,"03/19/2016, 13:00",Pool F,Final
b,r,e,a,k
pools,T3 PP
pool,Pool G
Texas State,Texas (B),10,4,"03/19/2016, 09:00",Pool G,Final
Colorado State,Texas-San Antonio,8,6,"03/19/2016, 09:00",Pool G,Final
Texas State,Colorado State,5,6,"03/19/2016, 10:45",Pool G,Final
Boston College,Texas-San Antonio,9,3,"03/19/2016, 10:45",Pool G,Final
Texas-San Antonio,Texas (B),9,8,"03/19/2016, 12:30",Pool G,Final
Boston College,Colorado State,7,4,"03/19/2016, 12:30",Pool G,Final
Texas State,Texas-San Antonio,11,0,"03/19/2016, 14:15",Pool G,Final
Boston College,Texas (B),7,4,"03/19/2016, 14:15",Pool G,Final
Texas State,Boston College,6,5,"03/19/2016, 16:00",Pool G,Final
Colorado State,Texas (B),6,4,"03/19/2016, 16:00",Pool G,Final
pool,Pool H
MIT,Miami,5,6,"03/19/2016, 09:00",Pool H,Final
Rochester,Oklahoma,9,6,"03/19/2016, 09:00",Pool H,Final
MIT,Rochester,7,6,"03/19/2016, 10:45",Pool H,Final
Rice,Oklahoma,6,5,"03/19/2016, 10:45",Pool H,Final
Oklahoma,Miami,7,8,"03/19/2016, 12:30",Pool H,Final
Rice,Rochester,6,7,"03/19/2016, 12:30",Pool H,Final
MIT,Oklahoma,10,2,"03/19/2016, 14:15",Pool H,Final
Rice,Miami,8,7,"03/19/2016, 14:15",Pool H,Final
MIT,Rice,10,7,"03/19/2016, 16:00",Pool H,Final
Rochester,Miami,8,7,"03/19/2016, 16:00",Pool H,Final
pool,Pool I
Illinois,California (B),5,6,"03/19/2016, 09:00",Pool I,Final
Wisconsin-Eau Claire,Texas Christian,5,9,"03/19/2016, 09:00",Pool I,Final
Illinois,Wisconsin-Eau Claire,10,4,"03/19/2016, 10:45",Pool I,Final
Texas A&M,Texas Christian,8,4,"03/19/2016, 10:45",Pool I,Final
Texas Christian,California (B),8,6,"03/19/2016, 12:30",Pool I,Final
Texas A&M,Wisconsin-Eau Claire,5,4,"03/19/2016, 12:30",Pool I,Final
Illinois,Texas Christian,10,9,"03/19/2016, 14:15",Pool I,Final
Texas A&M,California (B),7,5,"03/19/2016, 14:15",Pool I,Final
Illinois,Texas A&M,7,6,"03/19/2016, 16:00",Pool I,Final
Wisconsin-Eau Claire,California (B),7,3,"03/19/2016, 16:00",Pool I,Final
pool,Pool J
Washington University,Colorado (B),4,5,"03/19/2016, 09:00",Pool J,Final
Nebraska,Trinity,6,7,"03/19/2016, 09:00",Pool J,Final
Washington University,Nebraska,6,9,"03/19/2016, 10:45",Pool J,Final
California-Santa Barbara,Trinity,5,6,"03/19/2016, 10:45",Pool J,Final
Trinity,Colorado (B),7,8,"03/19/2016, 12:30",Pool J,Final
California-Santa Barbara,Nebraska,6,7,"03/19/2016, 12:30",Pool J,Final
Washington University,Trinity,8,6,"03/19/2016, 14:15",Pool J,Final
California-Santa Barbara,Colorado (B),8,9,"03/19/2016, 14:15",Pool J,Final
Washington University,California-Santa Barbara,7,8,"03/19/2016, 16:00",Pool J,Final
Nebraska,Colorado (B),9,5,"03/19/2016, 16:00",Pool J,Final
b,r,e,a,k
clusters,T2 X
cluster,T2 X
Colorado College,Tufts,10,13,"03/19/2016, 15:15",,Final
Florida State,Kansas,11,8,"03/19/2016, 15:15",,Final
Northeastern,Minnesota,12,9,"03/19/2016, 15:15",,Final
Northwestern,Vermont,12,13,"03/19/2016, 15:15",,Final
Penn State,Wisconsin,9,11,"03/19/2016, 15:15",,Final
Iowa State,Southern California,11,10,"03/19/2016, 15:15",,Final
b,r,e,a,k
brackets,BP
bracket,CHAMPIONSHIP BRACKET
Texas,Michigan,12,11,"03/20/2016, 15:00",FINALS,Final
California,Texas,8,15,"03/20/2016, 13:00",SEMIS,Final
Michigan,UCLA,10,9,"03/20/2016, 13:00",SEMIS,Final
California,Virginia,10,9,"03/20/2016, 11:00",QUARTERS,Final
Texas,Central Florida,11,10,"03/20/2016, 11:00",QUARTERS,Final
Michigan,Colorado,13,11,"03/20/2016, 11:00",QUARTERS,Final
Ohio State,UCLA,10,11,"03/20/2016, 11:00",QUARTERS,Final
Virginia,Florida State,14,10,"03/20/2016, 09:00",PLAY-IN,Final
Central Florida,Vermont,14,7,"03/20/2016, 09:00",PLAY-IN,Final
Colorado,Tufts,13,7,"03/20/2016, 09:00",PLAY-IN,Final
UCLA,Northeastern,11,5,"03/20/2016, 09:00",PLAY-IN,Final
bracket,3RD PLACE GAME
California,UCLA,11,12,"03/20/2016, 15:00",3RD PLACE,Final
bracket,5TH PLACE BRACKET
Central Florida,Colorado,10,14,"03/20/2016, 15:00",5TH PLACE,Final
Virginia,Central Florida,7,15,"03/20/2016, 13:00",5TH SEMIS,Final
Colorado,Ohio State,13,11,"03/20/2016, 13:00",5TH SEMIS,Final
bracket,7TH PLACE GAME
Virginia,Ohio State,8,10,"03/20/2016, 15:00",7TH PLACE,Final
bracket,9TH PLACE BRACKET
Florida State,Tufts,12,9,"03/20/2016, 15:00",9TH PLACE,Final
Florida State,Vermont,13,11,"03/20/2016, 13:00",9TH SEMIS,Final
Tufts,Northeastern,11,9,"03/20/2016, 13:00",9TH SEMIS,Final
bracket,11TH PLACE GAME
Vermont,Northeastern,13,11,"03/20/2016, 15:00",11TH PLACE,Final
bracket,13TH PLACE BRACKET
Colorado College,Minnesota,10,13,"03/20/2016, 15:00",13TH PLACE,Final
Colorado College,Iowa State,10,9,"03/20/2016, 13:00",13TH SEMIS,Final
Wisconsin,Minnesota,8,11,"03/20/2016, 13:00",13TH SEMIS,Final
Colorado College,Southern California,9,3,"03/20/2016, 11:00",13TH QUARTERS,Final
Northwestern,Iowa State,8,14,"03/20/2016, 11:00",13TH QUARTERS,Final
Rochester,Wisconsin,4,13,"03/20/2016, 11:00",13TH QUARTERS,Final
Minnesota,Penn State,1,0,"03/20/2016, 11:00",13TH QUARTERS,Final
Colorado College,Texas State,15,7,"03/20/2016, 09:00",13TH PQS,Final
Southern California,MIT,11,9,"03/20/2016, 09:00",13TH PQS,Final
Northwestern,Colorado (B),15,0,"03/20/2016, 09:00",13TH PQS,Final
Iowa State,Illinois,11,8,"03/20/2016, 09:00",13TH PQS,Final
Kansas,Rochester,9,11,"03/20/2016, 09:00",13TH PQS,Final
Wisconsin,Boston College,13,7,"03/20/2016, 09:00",13TH PQS,Final
Minnesota,Texas A&M,13,8,"03/20/2016, 09:00",13TH PQS,Final
Penn State,Nebraska,10,6,"03/20/2016, 09:00",13TH PQS,Final
bracket,15TH PLACE GAME
